ı
----------------------------------------
AA70327.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
05/11/17	17:44:25.16	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/11/17	17:52:32.16	00:00:00.00	R	0000_0000000174764517	A3	1	2411
05/11/17	19:28:56.87	00:00:00.00	R	0000_0000000174764517	A3	1	28651
05/11/17	21:44:43.49	00:00:00.00	R	0000_0000000174764517	A3	1	40361
05/11/17	23:19:00.04	00:00:00.00	R	0000_0000000174764517	A3	1	28017
05/12/17	01:39:11.76	00:00:00.00	R	0000_0000000174764517	A3	1	41667
05/12/17	01:44:56.17	00:00:00.00	R	0000_0000000174764517	A3	1	1705
05/12/17	02:29:46.48	00:00:00.00	R	0000_0000000174764517	A3	1	13326
05/12/17	02:46:14.37	00:00:00.00	R	0000_0000000174764517	A3	1	4893
05/12/17	06:17:03.88	00:00:00.00	R	0000_0000000174764517	A3	1	62670
05/12/17	10:14:15.36	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/12/17	10:17:30.97	00:00:00.00	R	0000_0000000174764517	A3	1	968
05/12/17	15:15:44.68	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/12/17	15:35:11.21	00:00:00.00	R	0000_0000000174764517	A3	1	5777
05/12/17	16:19:01.79	00:00:00.00	R	0000_0000000174764517	A3	1	13032
05/12/17	17:17:10.03	00:00:00.00	R	0000_0000000174764517	A3	1	17276
05/12/17	17:25:14.96	00:00:00.00	R	0000_0000000174764517	A3	1	2401
